"Username","DesktopFolder","DocumentsFolder"
"ancohen","Not Found","Not Found"
"antonio.herrera","Not Found","Not Found"
"beverly.ali","Not Found","Not Found"
"cbrooke","Not Found","Not Found"
"cdanquah","Not Found","Not Found"
"david.logan","Not Found","Not Found"
"dtc","C:\Users\dtc\Desktop","C:\Users\dtc\Documents"
"gail.woods.ELEV8CENTERS","Not Found","Not Found"
"ifuseau","Not Found","Not Found"
"Katrina.Mercer","Not Found","Not Found"
"mbeltran","Not Found","Not Found"
"mforbes-baptiste","Not Found","Not Found"
"Michael.Henderson","Not Found","Not Found"
"mpucheril","Not Found","Not Found"
"mtownes","Not Found","Not Found"
"oheyward","Not Found","Not Found"
"Orly.Banafsheha","Not Found","Not Found"
"oscar.ortiz","Not Found","Not Found"
"Othomas","Not Found","Not Found"
"ridlett","Not Found","Not Found"
"rwalker","Not Found","Not Found"
"shantay.brown","Not Found","Not Found"
"shawn.noralez","Not Found","Not Found"
"smena","Not Found","Not Found"
"sreid","Not Found","Not Found"
"sshim","Not Found","Not Found"
"ssudlow","Not Found","Not Found"
"steven.mitchell.ELEV8CENTERS","Not Found","Not Found"
"swhite","Not Found","Not Found"
"vglasscock","Not Found","Not Found"
"vmackenzie","Not Found","Not Found"
