"Username","DesktopFolder","DocumentsFolder"
"ancohen","C:\Users\ancohen\Desktop","C:\Users\ancohen\Documents"
"andrew.bingham","Not Found","Not Found"
"andrew.bingham.ELEV8CENTERS","C:\Users\andrew.bingham.ELEV8CENTERS\Desktop","C:\Users\andrew.bingham.ELEV8CENTERS\Documents"
"aoommen","Not Found","Not Found"
"beverly.ali","Not Found","Not Found"
"beverly.ali.ELEV8CENTERS","C:\Users\beverly.ali.ELEV8CENTERS\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\beverly.ali.ELEV8CENTERS\OneDrive - Gentle Heart Recovery\Documents"
"cbrooke","Not Found","Not Found"
"cbrooke.ELEV8CENTERS","C:\Users\cbrooke.ELEV8CENTERS\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\cbrooke.ELEV8CENTERS\OneDrive - Gentle Heart Recovery\Documents"
"cdanquah","C:\Users\cdanquah\Desktop","C:\Users\cdanquah\Documents"
"cvalentin","Not Found","Not Found"
"david.logan","Not Found","Not Found"
"david.logan.ELEV8CENTERS","C:\Users\david.logan.ELEV8CENTERS\Desktop","C:\Users\david.logan.ELEV8CENTERS\Documents"
"Dcarter","Not Found","Not Found"
"digacore","C:\Users\digacore\Desktop","C:\Users\digacore\Documents"
"DigacoreUser","C:\Users\DigacoreUser\Desktop","C:\Users\DigacoreUser\Documents"
"DTC","C:\Users\DTC\Desktop","C:\Users\DTC\Documents"
"dvelez","Not Found","Not Found"
"elizabeth.tremaine","Not Found","Not Found"
"gail.woods","Not Found","Not Found"
"gail.woods.ELEV8CENTERS","C:\Users\gail.woods.ELEV8CENTERS\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\gail.woods.ELEV8CENTERS\OneDrive - Gentle Heart Recovery\Documents"
"gward","Not Found","Not Found"
"jennifer.mcmanus","C:\Users\jennifer.mcmanus\Desktop","C:\Users\jennifer.mcmanus\Documents"
"Joseph.Smith","Not Found","Not Found"
"Julia.Savel","Not Found","Not Found"
"jwatkins.ELEV8CENTERS","C:\Users\jwatkins.ELEV8CENTERS\Desktop","C:\Users\jwatkins.ELEV8CENTERS\Documents"
"Katrina.Mercer","Not Found","Not Found"
"Katrina.Mercer.ELEV8CENTERS","C:\Users\Katrina.Mercer.ELEV8CENTERS\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\Katrina.Mercer.ELEV8CENTERS\OneDrive - Gentle Heart Recovery\Documents"
"kbaker","Not Found","Not Found"
"maxine.carter","Not Found","Not Found"
"maxine.carter.ELEV8CENTERS","C:\Users\maxine.carter.ELEV8CENTERS\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\maxine.carter.ELEV8CENTERS\OneDrive - Gentle Heart Recovery\Documents"
"mbeltran","Not Found","Not Found"
"mbeltran.ELEV8CENTERS","C:\Users\mbeltran.ELEV8CENTERS\Desktop","C:\Users\mbeltran.ELEV8CENTERS\Documents"
"mforbes-baptiste","Not Found","Not Found"
"Michael.Henderson","Not Found","Not Found"
"Michael.Henderson.ELEV8CENTERS","C:\Users\Michael.Henderson.ELEV8CENTERS\Desktop","C:\Users\Michael.Henderson.ELEV8CENTERS\Documents"
"mpucheril","Not Found","Not Found"
"mtownes","C:\Users\mtownes\Desktop","C:\Users\mtownes\Documents"
"oheyward","Not Found","Not Found"
"oheyward.ELEV8CENTERS","C:\Users\oheyward.ELEV8CENTERS\Desktop","C:\Users\oheyward.ELEV8CENTERS\Documents"
"Orly.Banafsheha","Not Found","Not Found"
"Othomas","Not Found","Not Found"
"patricia.dail","Not Found","Not Found"
"ridlett","Not Found","Not Found"
"rlawrence","Not Found","Not Found"
"rlawrence.ELEV8CENTERS","C:\Users\rlawrence.ELEV8CENTERS\Desktop","C:\Users\rlawrence.ELEV8CENTERS\Documents"
"rwalker","C:\Users\rwalker\Desktop","C:\Users\rwalker\Documents"
"SBrooks","Not Found","Not Found"
"sedwards","Not Found","Not Found"
"semlyn.saunders","Not Found","Not Found"
"semlyn.saunders.ELEV8CENTERS","C:\Users\semlyn.saunders.ELEV8CENTERS\Desktop","C:\Users\semlyn.saunders.ELEV8CENTERS\Documents"
"shantay.brown","Not Found","Not Found"
"smena","C:\Users\smena\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\smena\OneDrive - Gentle Heart Recovery\Documents"
"sshim","Not Found","Not Found"
"ssudlow","Not Found","Not Found"
"steven.mitchell","Not Found","Not Found"
"Steven.Mitchell.ELEV8CENTERS","C:\Users\Steven.Mitchell.ELEV8CENTERS\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\Steven.Mitchell.ELEV8CENTERS\OneDrive - Gentle Heart Recovery\Documents"
"swalker","Not Found","Not Found"
"Terry.Washington","Not Found","Not Found"
"tmelamed","Not Found","Not Found"
"vglasscock","Not Found","Not Found"
