"Username","DesktopFolder","DocumentsFolder"
"abootes","Not Found","C:\Users\abootes\Documents"
"adent","C:\Users\adent\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\adent\OneDrive - Gentle Heart Recovery\Documents"
"Administrator","C:\Users\Administrator\Desktop","C:\Users\Administrator\Documents"
"ahunt","Not Found","C:\Users\ahunt\Documents"
"bcunningham","C:\Users\bcunningham\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\bcunningham\OneDrive - Gentle Heart Recovery\Documents"
"cawhite","C:\Users\cawhite\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\cawhite\OneDrive - Gentle Heart Recovery\Documents"
"ccook","Not Found","C:\Users\ccook\Documents"
"CSidebottom","C:\Users\CSidebottom\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\CSidebottom\OneDrive - Gentle Heart Recovery\Documents"
"cyoder","C:\Users\cyoder\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\cyoder\OneDrive - Gentle Heart Recovery\Documents"
"drussell","C:\Users\drussell\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\drussell\OneDrive - Gentle Heart Recovery\Documents"
"DTC","C:\Users\DTC\Desktop","C:\Users\DTC\Documents"
"ebohlman","C:\Users\ebohlman\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\ebohlman\OneDrive - Gentle Heart Recovery\Documents"
"egleason","C:\Users\egleason\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\egleason\OneDrive - Gentle Heart Recovery\Documents"
"jorr","C:\Users\jorr\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\jorr\OneDrive - Gentle Heart Recovery\Documents"
"kdaniel","Not Found","C:\Users\kdaniel\Documents"
"lharding","Not Found","C:\Users\lharding\Documents"
"mcoen","C:\Users\mcoen\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\mcoen\OneDrive - Gentle Heart Recovery\Documents"
"MSchulz","C:\Users\MSchulz\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\MSchulz\OneDrive - Gentle Heart Recovery\Documents"
"pacquaah","Not Found","C:\Users\pacquaah\Documents"
"pjust","Not Found","C:\Users\pjust\Documents"
"Rbailey","C:\Users\Rbailey\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\Rbailey\OneDrive - Gentle Heart Recovery\Documents"
"smiles","C:\Users\smiles\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\smiles\OneDrive - Gentle Heart Recovery\Documents"
"sserth","Not Found","C:\Users\sserth\Documents"
"thaslip","C:\Users\thaslip\OneDrive - Gentle Heart Recovery\Desktop","C:\Users\thaslip\OneDrive - Gentle Heart Recovery\Documents"
